station_idx,station_id,beta,sigma,stationname,cluster
1,40010,-0.36333567,0.10536226500000001,Austin-Forest Park,1
2,40020,-0.36574721,0.0768653545,Harlem-Lake,2
3,40030,-0.3909553,0.079327868,Pulaski-Lake,2
4,40040,-0.36939799,0.163495155,Quincy/Wells,3
5,40050,-0.31873477,0.096180369,Davis,1
6,40060,-0.35730577500000005,0.0826521395,Belmont-O'Hare,1
7,40070,-0.24718844499999998,0.14910365,Jackson/Dearborn,3
8,40080,-0.40953375000000003,0.12392037,Sheridan,2
9,40090,-0.31019921,0.14689257,Damen-Brown,3
10,40100,-0.337882625,0.0794474475,Morse,1
11,40120,-0.38404889,0.10205421,35th/Archer,2
12,40130,-0.41590576,0.082265491,51st,2
13,40140,-0.03686598,0.40951918,Dempster-Skokie,4
14,40150,-0.433099625,0.0630932145,Pulaski-Cermak,2
15,40160,-0.348422495,0.164824555,LaSalle/Van Buren,3
16,40170,-0.339080285,0.16771165,Ashland-Lake,3
17,40180,-0.36849061,0.144200025,Oak Park-Forest Park,1
18,40190,-0.586927805,0.204435315,Sox-35th-Dan Ryan,5
19,40210,-0.35839856999999997,0.092798221,Damen-Cermak,1
20,40220,-0.26540231000000003,0.110552705,Western-Forest Park,3
21,40230,-0.34347481999999996,0.0929735525,Cumberland,1
22,40240,-0.43609372,0.063902418,79th,2
23,40250,-0.30297637499999996,0.0842298365,Kedzie-Homan-Forest Park,1
24,40270,-0.35715744,0.1000283,Main,1
25,40280,-0.432427055,0.0740710275,Central-Lake,2
26,40300,-0.363770335,0.096023884,Indiana,1
27,40310,-0.41173628,0.08754142000000001,Western-Orange,2
28,40320,-0.317214405,0.12112966,Division/Milwaukee,1
29,40330,-0.375948505,0.12555012,Grand/State,1
30,40350,0.06675668,0.8156391599999999,UIC-Halsted,6
31,40360,-0.32745205499999996,0.15245003499999998,Southport,3
32,40370,-0.282704445,0.097638837,Washington/Dearborn,1
33,40380,-0.32406223,0.12743766,Clark/Lake,1
34,40390,-0.40020888,0.087775675,Forest Park,2
35,40400,-0.23616612,0.203078125,Noyes,3
36,40420,-0.440403915,0.0701513165,Cicero-Cermak,2
37,40430,0.115807565,0.63786969,Clinton-Forest Park,6
38,40440,-0.301906905,0.187954575,California-Cermak,3
39,40450,-0.443788225,0.0700347675,95th/Dan Ryan,2
40,40460,-0.32601592999999995,0.2079568,Merchandise Mart,3
41,40470,0.026277952,0.614440715,Racine,6
42,40480,-0.41335189,0.0771554415,Cicero-Lake,2
43,40490,-0.30896105,0.113057405,Grand/Milwaukee,1
44,40510,-0.368960935,0.086204206,Garfield-South Elevated,2
45,40520,-0.20849515000000002,0.167247,Foster,3
46,40530,-0.318252895,0.159846025,Diversey,3
47,40540,-0.344651485,0.0929875,Wilson,1
48,40550,-0.37655862,0.082245788,Irving Park-O'Hare,2
49,40560,-0.252057145,0.165942985,Jackson/State,3
50,40570,-0.31658797,0.112850775,California/Milwaukee,1
51,40580,-0.414168885,0.08952936049999999,54th/Cermak,2
52,40590,-0.31525267,0.11257289000000001,Damen/Milwaukee,1
53,40600,-0.432589675,0.08912887350000001,Kostner,2
54,40610,-0.352975755,0.12701077500000002,Ridgeland,1
55,40630,-0.35783322500000003,0.123936105,Clark/Division,1
56,40650,-0.341002755,0.096654727,North/Clybourn,1
57,40660,-0.30051596,0.18851876499999998,Armitage,3
58,40670,-0.3199632,0.11894636,Western/Milwaukee,1
59,40680,-0.27490579000000004,0.166613865,Adams/Wabash,3
60,40690,-0.34731707,0.09506606949999999,Dempster,1
61,40700,-0.41317488,0.09101759649999999,Laramie,2
62,40710,-0.321414705,0.13541202,Chicago/Franklin,1
63,40720,-0.352955405,0.0811647605,East 63rd-Cottage Grove,1
64,40730,-0.357919705,0.18989077,Washington/Wells,3
65,40740,-0.39161752000000005,0.083297632,Western-Cermak,2
66,40750,-0.360304165,0.10052003,Harlem-O'Hare,1
67,40760,-0.211046715,0.11705077,Granville,3
68,40780,-0.396661875,0.0838836725,Central Park,2
69,40790,-0.31132204500000005,0.15759191,Monroe/Dearborn,3
70,40800,-0.30516702,0.16420573,Sedgwick,3
71,40810,-0.26991987,0.11916035,Medical Center,3
72,40820,-0.33339223500000004,0.07464302049999999,Rosemont,1
73,40830,-0.34434222999999997,0.0905444315,18th,1
74,40840,-0.36701615499999996,0.0973741565,South Boulevard,1
75,40850,-0.273582585,0.17237253,Library,3
76,40870,-0.363700725,0.11315799,Francisco,1
77,40880,-0.31360628,0.097745337,Thorndale,1
78,40890,-0.3461185,0.082572439,O'Hare Airport,1
79,40900,-0.30659011,0.0631921405,Howard,1
80,40910,-0.40748293999999996,0.071986334,63rd-Dan Ryan,2
81,40920,-0.33589853999999997,0.072730719,Pulaski-Forest Park,1
82,40930,-0.454185415,0.090799353,Midway Airport,2
83,40960,-0.40250955499999996,0.12203529,Pulaski-Orange,2
84,40970,-0.342611545,0.0765301475,Cicero-Forest Park,1
85,40980,-0.370320765,0.095578032499999993,Harlem-Forest Park,1
86,40990,-0.42126821999999997,0.0686498775,69th,2
87,41000,-0.361953115,0.12511550500000002,Cermak-Chinatown,1
88,41010,-0.332774085,0.129635075,Rockwell,1
89,41020,-0.33692315,0.102838055,Logan Square,1
90,41030,-0.343647745,0.149285075,Polk,3
91,41040,-0.286326265,0.207609045,Kedzie-Cermak,3
92,41050,-0.550879055,0.157510985,Linden,5
93,41060,-0.38697109500000004,0.0906649545,Ashland-Orange,2
94,41070,-0.372615015,0.116771,Kedzie-Lake,1
95,41080,-0.44963075500000005,0.0795969495,47th-South Elevated,2
96,41090,-0.33081569,0.127439285,Monroe/State,1
97,41120,-0.281990085,0.145131595,35-Bronzeville-IIT,3
98,41130,-0.36030642999999996,0.113418535,Halsted-Orange,1
99,41140,-0.37828726999999995,0.0952364585,King Drive,2
100,41150,-0.405870815,0.0955371935,Kedzie-Midway,2
101,41160,-0.34421686,0.123207785,Clinton-Lake,1
102,41170,-0.40279464,0.077661589,Garfield-Dan Ryan,2
103,41180,-0.382556915,0.078208848,Kedzie-Brown,2
104,41190,-0.37454250499999997,0.072439854,Jarvis,2
105,41200,-0.31497616,0.09311900449999999,Argyle,1
106,41210,-0.33711325000000003,0.173252915,Wellington,3
107,41220,-0.27595843,0.195163635,Fullerton,3
108,41230,-0.47538476,0.074403065,47th-Dan Ryan,2
109,41240,-0.34754612,0.11167471500000001,Addison-O'Hare,1
110,41250,-0.44218588999999997,0.168220745,Central-Evanston,2
111,41260,-0.39636458500000005,0.082267674,Austin-Lake,2
112,41270,-0.43868656500000003,0.090752976,43rd,2
113,41280,-0.37083831,0.0715618525,Jefferson Park,2
114,41290,-0.403915025,0.076401502,Kimball,2
115,41300,-0.21127225,0.14538917,Loyola,3
116,41310,-0.33771306,0.143645005,Paulina,3
117,41320,-0.37055468,0.13439301,Belmont-North Main,1
118,41330,-0.35051414999999997,0.094017036,Montrose-O'Hare,1
119,41340,-0.15279493500000002,0.161126645,LaSalle,3
120,41350,-0.35290388500000003,0.10586973,Oak Park-Lake,1
121,41360,-0.38274703499999996,0.0969603365,California-Lake,2
122,41380,-0.328527345,0.0966953245,Bryn Mawr,1
123,41400,-0.289021715,0.09380867949999999,Roosevelt,1
124,41410,-0.31918269,0.11224656,Chicago/Milwaukee,1
125,41420,-0.54511588,0.247886035,Addison-North Main,5
126,41430,-0.43695567,0.076697142,87th,2
127,41440,-0.33116502000000003,0.16278742499999999,Addison-Brown,3
128,41450,-0.39363824999999997,0.09044962349999999,Chicago/State,2
129,41460,-0.342147965,0.15130905,Irving Park-Brown,3
130,41480,-0.24955573,0.118810105,Western-Brown,3
131,41490,-0.24065321,0.186682605,Harrison,3
132,41500,-0.33902681,0.122645955,Montrose-Brown,1
133,41510,-0.297123,0.11666072499999999,Morgan-Lake,1
134,41660,-0.371055535,0.0966273905,Lake/State,1
135,41670,-0.38775047,0.08745302499999999,Conservatory,2
136,41680,-0.07168596599999999,0.32463319,Oakton-Skokie,4
137,41690,-0.324489915,0.265876295,Cermak-McCormick Place,3
138,41700,-0.30217081999999995,0.0920752685,Washington/Wabash,1
