station_id,n_lines,line,color,stop_lat,stop_lon
40010,1,Blue,00A1DE,41.870851,-87.776812
40020,1,G,009B3A,41.886848,-87.803176
40030,1,G,009B3A,41.885412,-87.725404
40040,2,Multi,000000,41.878723,-87.63374
40050,1,P,522398,42.04771,-87.683543
40060,1,Blue,00A1DE,41.9391107041,-87.71225212
40070,1,Blue,00A1DE,41.878183,-87.629296
40080,1,Red,C60C30,41.9539048386,-87.6546614127
40090,1,Brn,62361B,41.966286,-87.678639
40100,1,Red,C60C30,42.008362,-87.665909
40120,1,Org,F9461C,41.829353,-87.680622
40130,1,G,009B3A,41.80209,-87.618487
40140,1,Y,F9E300,42.038951,-87.751919
40150,1,Pink,E27EA6,41.853732,-87.724311
40160,2,Multi,000000,41.8768,-87.631739
40170,2,Multi,000000,41.885269,-87.666969
40180,1,Blue,00A1DE,41.872108,-87.791602
40190,1,Red,C60C30,41.831191,-87.630636
40210,1,Pink,E27EA6,41.854517,-87.675975
40220,1,Blue,00A1DE,41.875478,-87.688436
40230,1,Blue,00A1DE,41.984246,-87.838028
40240,1,Red,C60C30,41.750419,-87.625112
40250,1,Blue,00A1DE,41.874341,-87.70604
40270,1,P,522398,42.033456,-87.679538
40280,1,G,009B3A,41.887389,-87.76565
40300,1,G,009B3A,41.821732,-87.621371
40310,1,Org,F9461C,41.804546,-87.684019
40320,1,Blue,00A1DE,41.903355,-87.666496
40330,1,Red,C60C30,41.891665,-87.628021
40350,1,Blue,00A1DE,41.875474,-87.649707
40360,1,Brn,62361B,41.943744,-87.663619
40370,1,Blue,00A1DE,41.883164,-87.62944
40380,5,Multi,000000,41.885737,-87.630886
40390,1,Blue,00A1DE,41.874257,-87.817318
40400,1,P,522398,42.058282,-87.683337
40420,1,Pink,E27EA6,41.85182,-87.745336
40430,1,Blue,00A1DE,41.875539,-87.640984
40440,1,Pink,E27EA6,41.854109,-87.694774
40450,1,Red,C60C30,41.722377,-87.624342
40460,1,Brn,62361B,41.888969,-87.633924
40470,1,Blue,00A1DE,41.87592,-87.659458
40480,1,G,009B3A,41.886519,-87.744698
40490,1,Blue,00A1DE,41.891189,-87.647578
40510,1,G,009B3A,41.795172,-87.618327
40520,1,P,522398,42.05416,-87.68356
40530,1,Brn,62361B,41.932732,-87.653131
40540,1,Red,C60C30,41.965481568,-87.6579258145
40550,1,Blue,00A1DE,41.952925,-87.729229
40560,1,Red,C60C30,41.878153,-87.627596
40570,1,Blue,00A1DE,41.9221583097,-87.6972439537
40580,1,Pink,E27EA6,41.85177331,-87.75669201
40590,1,Blue,00A1DE,41.9098452343,-87.6775400139
40600,1,Pink,E27EA6,41.853751,-87.733258
40610,1,G,009B3A,41.887159,-87.783661
40630,1,Red,C60C30,41.90392,-87.631412
40650,1,Red,C60C30,41.910655,-87.649177
40660,1,Brn,62361B,41.918217,-87.652644
40670,1,Blue,00A1DE,41.916157,-87.687364
40680,4,Multi,000000,41.879507,-87.626037
40690,1,P,522398,42.041655,-87.681602
40700,1,G,009B3A,41.887163,-87.754986
40710,1,Brn,62361B,41.89681,-87.635924
40720,1,G,009B3A,41.780309,-87.605857
40730,2,Multi,000000,41.882695,-87.63378
40740,1,Pink,E27EA6,41.854225,-87.685129
40750,1,Blue,00A1DE,41.98227,-87.8089
40760,1,Red,C60C30,41.9944830093,-87.6591866269
40780,1,Pink,E27EA6,41.853839,-87.714842
40790,1,Blue,00A1DE,41.880703,-87.629378
40800,1,Brn,62361B,41.910409,-87.639302
40810,1,Blue,00A1DE,41.875706,-87.673932
40820,1,Blue,00A1DE,41.983507,-87.859388
40830,1,Pink,E27EA6,41.857908,-87.669147
40840,1,P,522398,42.027612,-87.678329
40850,2,Multi,000000,41.876862,-87.628196
40870,1,Brn,62361B,41.966046,-87.701644
40880,1,Red,C60C30,41.9900990857,-87.6590684978
40890,1,Blue,00A1DE,41.97766526,-87.90422307
40900,3,Multi,000000,42.019063,-87.672892
40910,1,Red,C60C30,41.780536,-87.630952
40920,1,Blue,00A1DE,41.873797,-87.725663
40930,1,Org,F9461C,41.78661,-87.737875
40960,1,Org,F9461C,41.799756,-87.724493
40970,1,Blue,00A1DE,41.871574,-87.745154
40980,1,Blue,00A1DE,41.87349,-87.806961
40990,1,Red,C60C30,41.768367,-87.625724
41000,1,Red,C60C30,41.853206,-87.630968
41010,1,Brn,62361B,41.966115,-87.6941
41020,1,Blue,00A1DE,41.9295342259,-87.7076881549
41030,1,Pink,E27EA6,41.871551,-87.66953
41040,1,Pink,E27EA6,41.853964,-87.705408
41050,1,P,522398,42.073153,-87.69073
41060,1,Org,F9461C,41.839234,-87.665317
41070,1,G,009B3A,41.884321,-87.706155
41080,1,G,009B3A,41.809209,-87.618826
41090,1,Red,C60C30,41.880745,-87.627696
41120,1,G,009B3A,41.831677,-87.625826
41130,1,Org,F9461C,41.84678,-87.648088
41140,1,G,009B3A,41.78013,-87.615546
41150,1,Org,F9461C,41.804236,-87.704406
41160,2,Multi,000000,41.885678,-87.641782
41170,1,Red,C60C30,41.79542,-87.631157
41180,1,Brn,62361B,41.965996,-87.708821
41190,1,Red,C60C30,42.0160204165,-87.6692571266
41200,1,Red,C60C30,41.9733220506,-87.6585279483
41210,1,Brn,62361B,41.936033,-87.653266
41220,2,Multi,000000,41.9253003719,-87.6528684398
41230,1,Red,C60C30,41.810318,-87.63094
41240,1,Blue,00A1DE,41.9466037164,-87.7184584172
41250,1,P,522398,42.063987,-87.685617
41260,1,G,009B3A,41.887293,-87.774135
41270,1,G,009B3A,41.816462,-87.619021
